,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category,Tip Count,Rating,Like Count
124,Fort Greene,40.688527260189815,-73.97290574369099,45548f85f964a5200f3d1fe3,Mullane's,40.687162039393286,-73.97570117471452,Burger Joint,108,6.4,3
125,Fort Greene,40.688527260189815,-73.97290574369099,5674a0d0498e6700e5d5d699,The Quarter,40.68733137904053,-73.97485336935813,American Restaurant,19,7.0,3
126,Fort Greene,40.688527260189815,-73.97290574369099,422b9980f964a520d21f1fe3,Maison May,40.68946565224472,-73.96929148484402,French Restaurant,52,8.1,3
127,Fort Greene,40.688527260189815,-73.97290574369099,5afcb616356b49002c4c1811,Fulton Hall,40.687847997661606,-73.97854208388212,Bar,5,7.0,3
128,Fort Greene,40.688527260189815,-73.97290574369099,4ca6342076d3a093b22fff6a,Mo's Fort Greene,40.687086786502725,-73.97468663141944,Bar,60,7.5,3
129,Fort Greene,40.688527260189815,-73.97290574369099,4bcdd52e937ca593495fad92,Mega Bites Diner,40.68953187628527,-73.96943652826938,Diner,15,5.9,3
130,Park Slope,40.672320522682014,-73.97705030183931,4e24820a88774a43b788390d,Bareburger,40.671899897003335,-73.97762026256561,Burger Joint,90,8.6,3
131,Park Slope,40.672320522682014,-73.97705030183931,540ce9d0498e8ef1a0ad6a85,Burger Village,40.670347670059506,-73.97875359658781,Burger Joint,22,7.8,3
132,Park Slope,40.672320522682014,-73.97705030183931,5579bd50498e191d31ad8270,Brooklyn Burgers & Beer,40.67450404381487,-73.98181864255947,Burger Joint,30,8.2,2
133,Park Slope,40.672320522682014,-73.97705030183931,4e45bca962845e1d3c88924e,Kiwiana,40.67455920733161,-73.97574156333353,American Restaurant,63,8.0,3
134,Park Slope,40.672320522682014,-73.97705030183931,49c86272f964a52019581fe3,Bonnie's Grill,40.67431661397844,-73.98218183269694,Burger Joint,100,7.8,3
135,Park Slope,40.672320522682014,-73.97705030183931,59ce97225315937fce26cef1,Bar Basic,40.675241418058384,-73.9749497566003,Burger Joint,15,7.0,3
136,Park Slope,40.672320522682014,-73.97705030183931,4bd4dcf5cfa7b713ce0a25da,Grand Canyon Diner,40.67150617247381,-73.97775755063513,Diner,18,6.0,3
137,Park Slope,40.672320522682014,-73.97705030183931,3fd66200f964a520fce81ee3,Park Slope Ale House,40.6705311055026,-73.98193670895691,Pub,47,7.2,3
138,Flatlands,40.6304460437575,-73.92911302644681,5756a622498e08c7751959dd,Wendy's,40.6336,-73.92811999999998,Burger Joint,2,6.4,3
139,Manhattan Beach,40.57791350308661,-73.94353722891893,5720f2ed498e7499aafa92ac,Chillax Manhattan Beach Cafe,40.578697,-73.938004,Café,4,6.9,3
140,Bath Beach,40.599518702822415,-73.99875221443526,552c2d5a498e6e675f548cc8,Five Guys,40.59528911421907,-73.99997669541368,Burger Joint,7,8.3,3
141,Bath Beach,40.599518702822415,-73.99875221443526,521a7e8a498e9a3defc15591,Casa Edesia Pizza and Grill,40.600029694718316,-74.0025917316845,Italian Restaurant,5,7.3,3
142,Bath Beach,40.599518702822415,-73.99875221443526,4b102c53f964a520926a23e3,Burger King,40.6021572477629,-73.99456393788559,Fast Food Restaurant,5,6.5,2
143,Bath Beach,40.599518702822415,-73.99875221443526,4ba7bfbbf964a520d8af39e3,Wendy's,40.59547534081079,-74.00020211935043,Burger Joint,26,6.3,2
144,Dyker Heights,40.61921945772268,-74.01931375636029,5792ab2e498e1f75f8d0ac24,BurgerFi,40.61880988,-74.02133452,Burger Joint,8,7.4,3
145,Dyker Heights,40.61921945772268,-74.01931375636029,4bafb531f964a5209f193ce3,Nathan's Famous,40.618493525193294,-74.02185465130172,Hot Dog Joint,13,7.0,3
146,Gerritsen Beach,40.590848433902075,-73.93010170691203,4a4e253df964a52027ae1fe3,TGI Fridays,40.58689753826717,-73.9289344923327,American Restaurant,43,6.0,1
147,Clinton Hill,40.69322942188155,-73.96784306216374,510193528302126a99141178,Putnam's Pub & Cooker,40.69320919801698,-73.96900829387259,Pub,103,8.4,2
148,Clinton Hill,40.69322942188155,-73.96784306216374,54d4d008498e254c1e68dee4,Bar Bolinas,40.69334102737389,-73.9672447913059,Restaurant,41,8.7,3
149,Clinton Hill,40.69322942188155,-73.96784306216374,4fe4a0b0e4b02bd5c5dd3e2e,Mark's Gourmet Burgers,40.693259595834405,-73.96787612008579,Burger Joint,7,6.6,3
150,Clinton Hill,40.69322942188155,-73.96784306216374,4eda54ed5c5c96a2fe2886c8,Energy Fuel,40.69317624981301,-73.97039494998354,Juice Bar,14,7.6,3
151,Clinton Hill,40.69322942188155,-73.96784306216374,5025b0a3e4b0e4d95f9f9017,Burger UrWay,40.69318616991472,-73.97207987104555,Burger Joint,8,6.3,3
152,Clinton Hill,40.69322942188155,-73.96784306216374,4b083bbaf964a520ee0623e3,Johns Donuts and Coffee Shop,40.69349212192997,-73.96599395923141,Diner,17,7.6,3
153,Clinton Hill,40.69322942188155,-73.96784306216374,433f2300f964a52050281fe3,Mike's Coffee Shop,40.6897851151352,-73.96538115407442,Diner,83,8.6,3
154,Clinton Hill,40.69322942188155,-73.96784306216374,55dfb656498e758dc3f5e3c4,Gentleman Farmer Fort Greene,40.69322908174357,-73.97102274648931,Restaurant,13,7.7,3
155,Downtown,40.69084402109806,-73.98346337431107,4eeb4c51775b1d4812e0261c,Shake Shack,40.69212698255525,-73.98865815291195,Burger Joint,240,8.9,2
156,Downtown,40.69084402109806,-73.98346337431107,4ded556745dd3aa41d634703,Smashburger,40.68978407181625,-73.97961795332886,Burger Joint,73,7.6,2
157,Downtown,40.69084402109806,-73.98346337431107,4dcc0c3052b17cba4fb62352,Five Guys,40.693676129803436,-73.98608685891288,Burger Joint,37,7.9,3
158,Downtown,40.69084402109806,-73.98346337431107,59681d5b8b98fd6fb9b4dbb6,Hard Times Sundaes,40.691261,-73.98259,Burger Joint,3,7.7,3
159,Downtown,40.69084402109806,-73.98346337431107,3fd66200f964a5207cf11ee3,Junior's Restaurant,40.69001145156075,-73.98173375415746,Diner,358,8.5,3
160,Downtown,40.69084402109806,-73.98346337431107,4b5e4c9df964a520648829e3,Mile End Delicatessen,40.687549,-73.987018,Sandwich Place,310,8.9,2
161,Downtown,40.69084402109806,-73.98346337431107,595e8c08e2da196c103e7a9e,Andrew's Classic Roadside Hamburgers,40.69106041629913,-73.98290771677036,Burger Joint,4,6.3,3
162,Downtown,40.69084402109806,-73.98346337431107,4b5cceabf964a520074529e3,New Apollo Diner,40.69050855133503,-73.9878579745927,Diner,41,7.3,3
163,Downtown,40.69084402109806,-73.98346337431107,4a2b1f53f964a520a5961fe3,Dallas BBQ,40.69014068713885,-73.98686566328149,BBQ Joint,72,6.3,3
164,Downtown,40.69084402109806,-73.98346337431107,4a522e5df964a52055b11fe3,Luciano's,40.693985660266506,-73.98542137408862,Italian Restaurant,19,7.5,3
165,Downtown,40.69084402109806,-73.98346337431107,55f8a162498e17705afff914,Kimoto Rooftop,40.69154680398732,-73.98447183825604,Bar,20,6.1,2
