,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,lats,lngs,Category,Count,Rating
130,Fort Greene,40.68852726,-73.97290574,4c848884d8086dcbd4608a52,Brooklyn Public House,40.68953711,-73.9693982,Cocktail Bar,133,8.6
223,North Side,40.71482291,-73.95880858,4e4ea8b5aeb70f12849528ed,St. Mazie,40.71244618,-73.95595408,Cocktail Bar,143,9.3
10,Norwood,40.87722416,-73.87939074,4c6d5ce5e6b7b1f7af76a98e,Nicky's Coffee Shop,40.87493279,-73.87940405,Coffee Shop,11,7.8
78,Prospect Heights,40.67682226,-73.96485924,4b93f1bdf964a520c25b34e3,Penny House Cafe,40.67610945,-73.96342292,Coffee Shop,44,6.6
116,Carroll Gardens,40.68213189,-74.00037274,58d933702f91cb026f478e38,East One Coffee Roasters,40.68112804,-73.99652634,Coffee Shop,30,9
3,Kingsbridge,40.88168737,-73.90281799,4b3789f3f964a520f34125e3,Riverdale Diner,40.88518285,-73.89948352,Diner,52,7.8
12,City Island,40.8472467,-73.78648845,4b87d10cf964a5206ecd31e3,City Island Diner,40.84723783,-73.78624489,Diner,7,7.9
14,Bedford Park,40.87018516,-73.88551218,4b171e79f964a5209cc223e3,Webster Cafe,40.86728999,-73.88361948,Diner,4,7.5
15,Bedford Park,40.87018516,-73.88551218,4baedf9ff964a520c0de3be3,Bedford Cafe Restaurant,40.87341387,-73.88919548,Diner,23,7.3
17,Fordham,40.8609968,-73.89642656,4b954545f964a5203c9934e3,Fordham Restaurant,40.86273353,-73.89677774,Diner,6,7.3
26,Melrose,40.81975437,-73.90942161,4fa534cee4b0fed4819dc7d4,Perry Coffee Shop.,40.82343312,-73.91093964,Diner,7,7.5
36,Westchester Square,40.8406195,-73.84219408,4b6a0d33f964a5205dc42be3,Tremont Diner,40.84005058,-73.83729838,Diner,20,7.6
65,Sheepshead Bay,40.58689013,-73.9431864,4b7ae0bff964a52017432fe3,Kouros Bay Diner,40.58976071,-73.93971283,Diner,13,6.9
80,Prospect Heights,40.67682226,-73.96485924,4e738451ae6050af79ebf95b,Neptune Diner II,40.67657388,-73.95926266,Diner,36,5.9
91,Bushwick,40.69811611,-73.92525797,4f9c021ae4b0d2a3a901a018,Terry's Cafe & Grill,40.69572657,-73.92974543,Diner,7,6.3
95,Brooklyn Heights,40.69586372,-73.99378225,49f3261bf964a520696a1fe3,Clark's Restaurant,40.69753294,-73.99304352,Diner,90,8.1
98,Brooklyn Heights,40.69586372,-73.99378225,4a12b724f964a52090771fe3,Park Plaza Diner,40.69779079,-73.99168195,Diner,51,7
110,Cobble Hill,40.68791972,-73.99856139,5692966d498ea35a37251d26,Mex Carroll's Diner,40.68551032,-74.00250985,Diner,6,7.4
111,Cobble Hill,40.68791972,-73.99856139,5692966d498ea35a37251d26,Mex Carroll's Diner,40.68551032,-74.00250985,Diner,6,7.4
119,Carroll Gardens,40.68213189,-74.00037274,4a564295f964a520dfb41fe3,Cobble Hill Coffee Shop,40.68343358,-73.99542633,Diner,37,8
140,Fort Greene,40.68852726,-73.97290574,4bcdd52e937ca593495fad92,Mega Bites Diner,40.68953188,-73.96943653,Diner,15,5.9
141,Fort Greene,40.68852726,-73.97290574,4bcdd52e937ca593495fad92,Mega Bites Diner,40.68953188,-73.96943653,Diner,15,5.9
148,Park Slope,40.67232052,-73.9770503,4bd4dcf5cfa7b713ce0a25da,Grand Canyon Diner,40.67150617,-73.97775755,Diner,18,6
164,Clinton Hill,40.69322942,-73.96784306,4b083bbaf964a520ee0623e3,Johns Donuts and Coffee Shop,40.69349212,-73.96599396,Diner,17,7.6
