,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category
91,Sheepshead Bay,40.58689012678388,-73.94318640482987,4bb9004d1261d13ae934e998,Dessert Palace,40.58383257208411,-73.94425972743441,Burger Joint
92,Sheepshead Bay,40.58689012678388,-73.94318640482987,4b480401f964a520614626e3,Applebee's Grill + Bar,40.58388785,-73.94323487,American Restaurant
93,Sheepshead Bay,40.58689012678388,-73.94318640482987,4b7ae0bff964a52017432fe3,Kouros Bay Diner,40.58976071228596,-73.93971282705247,Diner
94,Manhattan Terrace,40.614432513351026,-73.95743840559945,4e6fed0845dd04ee465b443b,Burger Shop,40.61683306987118,-73.95919261437253,Burger Joint
95,Manhattan Terrace,40.614432513351026,-73.95743840559945,5b0cbaf061f070002cdead7d,BK Burger,40.618215,-73.958356,Burger Joint
96,Crown Heights,40.67082917695298,-73.9432911907359,54cfdb36498e33e73a5d67b5,Boeuf & Bun,40.6704651316201,-73.94211271516724,Burger Joint
97,Crown Heights,40.67082917695298,-73.9432911907359,49f8fd61f964a520476d1fe3,Mendy's Crown Heights,40.668952058425745,-73.94219623980871,Burger Joint
98,Kensington,40.64238195800357,-73.98042110559481,4b5d2842f964a520ea5429e3,VIP Grill,40.641451894228176,-73.98543918649351,Burger Joint
99,Kensington,40.64238195800357,-73.98042110559481,528c27fd11d279a61b01496c,Brooklyn Comfort,40.643590913852876,-73.97758608570983,Restaurant
100,Windsor Terrace,40.656945835751074,-73.98007340430179,4a7c3df8f964a5200bec1fe3,The Double Windsor,40.66052504480458,-73.98028176631404,Bar
101,Windsor Terrace,40.656945835751074,-73.98007340430179,5361a097498e40a31baa411c,Krupa Grocery,40.65995716793667,-73.9806956999739,American Restaurant
102,Windsor Terrace,40.656945835751074,-73.98007340430179,4a1099f5f964a520e5761fe3,Rhythm & Booze,40.65759121594892,-73.97957961130054,Sports Bar
103,Windsor Terrace,40.656945835751074,-73.98007340430179,593de1cfc0f163445a3a49b2,212 Burgers,40.660497,-73.980584,Burger Joint
104,Prospect Heights,40.676822262254774,-73.96485924262697,4a6c86e5f964a520b8d01fe3,Tom's Restaurant,40.674536980944715,-73.96321631850594,Burger Joint
105,Prospect Heights,40.676822262254774,-73.96485924262697,50d5e0fce4b01e0c6330f7a1,Sunshine Co.,40.674672496487844,-73.96332178669509,American Restaurant
