,count,venue,venue category,venue lat,venue lon
208,3,Hard Times Sundaes,Burger Joint,40.691261,-73.98259
209,358,Junior's Restaurant,Diner,40.69001145156075,-73.98173375415746
210,310,Mile End Delicatessen,Sandwich Place,40.687549,-73.987018
211,4,Andrew's Classic Roadside Hamburgers,Burger Joint,40.69106041629913,-73.98290771677036
212,41,New Apollo Diner,Diner,40.69050855133503,-73.9878579745927
213,72,Dallas BBQ,BBQ Joint,40.69014068713885,-73.98686566328149
214,19,Luciano's,Italian Restaurant,40.693985660266506,-73.98542137408862
215,20,Kimoto Rooftop,Bar,40.691546803987315,-73.98447183825604
216,13,Dining Room,Bar,40.692119,-73.986621
217,23,Au Bon Pain,Bakery,40.69372084551512,-73.98655950648032
218,21,Burger King,Fast Food Restaurant,40.692053200000004,-73.9883598
219,219,Building on Bond,American Restaurant,40.686501872722566,-73.98515046129243
220,310,Mile End Delicatessen,Sandwich Place,40.687549,-73.987018
221,73,Smashburger,Burger Joint,40.68978407181625,-73.97961795332886
222,9,Next Level Burger,Burger Joint,40.68620707868772,-73.97875159246931
223,358,Junior's Restaurant,Diner,40.69001145156075,-73.98173375415746
224,3,Hard Times Sundaes,Burger Joint,40.691261,-73.98259
225,47,Hollow Nickel,Bar,40.68577926849693,-73.98187953276093
226,112,French Louie,French Restaurant,40.68805616208543,-73.98815885880983
227,4,Andrew's Classic Roadside Hamburgers,Burger Joint,40.69106041629913,-73.98290771677036
228,5,Fulton Hall,Bar,40.687847997661606,-73.97854208388212
229,49,St. Gambrinus Beer Shoppe,Bar,40.68502864547226,-73.97987252574748
230,72,Dallas BBQ,BBQ Joint,40.69014068713885,-73.98686566328149
231,20,Kimoto Rooftop,Bar,40.691546803987315,-73.98447183825604
232,12,Salem's Hour,Café,40.66064409489931,-73.95064813148792
233,2,Checkers,Burger Joint,40.678593757843814,-73.86683598160744
234,0,Burger King,Burger Joint,40.678024,-73.87091
235,0,Dixie BBQ,Burger Joint,40.628504,-73.959501
236,2,Checkers,Burger Joint,40.6496179,-73.9629977
237,0,Wing Bistro,Burger Joint,40.64471279999999,-73.95829520000001
238,0,Five Guys,Burger Joint,40.626714,-73.9170613
239,7,Vikki's Restaurant,Breakfast Spot,40.61957159423979,-73.91750662238279
240,13,Smashburger,Burger Joint,40.65363479879013,-73.87155128730647
241,21,Applebee's Grill + Bar,American Restaurant,40.65402971,-73.87383153
242,70,The Anchored Inn,Dive Bar,40.70924278935182,-73.93718161072704
243,82,Sweet Science,Bar,40.70648558841228,-73.94303739909941
244,48,Tradesman,Bar,40.70819190094133,-73.93995957206695
245,18,Juanchi's Burger,Burger Joint,40.71294743722325,-73.95890770379296
246,249,Walter Foods,American Restaurant,40.713443517170575,-73.9585818114249
247,228,DuMont Burger,Burger Joint,40.71361910775793,-73.96191390880837
248,325,The Commodore,American Restaurant,40.71408593052304,-73.95581668684504
249,106,Blue Collar,Burger Joint,40.711357717978856,-73.95771847756468
250,2,Shake Shack,Burger Joint,40.717372574839686,-73.96049213342168
251,269,Juliette,French Restaurant,40.71690816554318,-73.95909652424538
252,9,Quinoa Kitchen,Burger Joint,40.714087541690226,-73.96159171584075
253,124,Sweetwater Restaurant,Gastropub,40.71836741592055,-73.95999990648477
254,164,Emmy Squared,Pizza Place,40.712165999999996,-73.95570500000001
255,216,Rabbithole,American Restaurant,40.71225821376743,-73.9627964322234
256,64,Juniper,American Restaurant,40.71882498435637,-73.95875722232549
257,288,St. Anselm,American Restaurant,40.71414471294114,-73.95598405757656
258,15,MIDNIGHTS,Bar,40.71740674000676,-73.95839832495749
259,554,Pies 'n' Thighs,Fried Chicken Joint,40.711247914500696,-73.96144509176183
260,211,Crif Dogs,Hot Dog Joint,40.71699803215081,-73.95647564481764
261,6,Clinton Hall,Restaurant,40.71505295412933,-73.95921530663084
262,117,Teddy's Bar & Grill,Pub,40.71920479788144,-73.95843052939567
263,156,Surf Bar,Seafood Restaurant,40.717636287030345,-73.95871390484886
264,381,Egg,Breakfast Spot,40.716650270205996,-73.96172307176344
265,62,Snacky,Asian Restaurant,40.71431800559917,-73.9608467453687
266,2,Leon's Burger Hut,Burger Joint,40.714202,-73.961472
267,143,St. Mazie,Cocktail Bar,40.71244618231341,-73.95595408442469
268,28,Abracadabra Brooklyn,Breakfast Spot,40.712030074261435,-73.96290598436741
269,103,Fabiane's,Café,40.71673082800953,-73.95893920263242
270,3,Trix Cafe,Café,40.71886,-73.956622
271,1,Corner Bistro,Burger Joint,40.71691,-73.961875
272,0,La Cense Beef Burger Truck,Burger Joint,40.71497648916424,-73.96418048446036
273,127,Knitting Factory,Rock Club,40.71421851534021,-73.95575557482657
274,106,Blue Collar,Burger Joint,40.711357717978856,-73.95771847756468
275,18,Juanchi's Burger,Burger Joint,40.71294743722325,-73.95890770379296
276,249,Walter Foods,American Restaurant,40.713443517170575,-73.9585818114249
277,164,Emmy Squared,Pizza Place,40.712165999999996,-73.95570500000001
278,228,DuMont Burger,Burger Joint,40.71361910775793,-73.96191390880837
279,671,Peter Luger Steak House,Steakhouse,40.70995790682886,-73.96229110893742
280,325,The Commodore,American Restaurant,40.71408593052304,-73.95581668684504
281,216,Rabbithole,American Restaurant,40.71225821376743,-73.9627964322234
282,554,Pies 'n' Thighs,Fried Chicken Joint,40.711247914500696,-73.96144509176183
283,93,Trophy Bar,Bar,40.70776758662049,-73.95578164000341
284,9,Quinoa Kitchen,Burger Joint,40.714087541690226,-73.96159171584075
285,84,Lighthouse,New American Restaurant,40.7107830177268,-73.95370438110912
286,288,St. Anselm,American Restaurant,40.71414471294114,-73.95598405757656
287,46,Randolph Beer WBURG,American Restaurant,40.71196692965413,-73.96339869037553
288,6,Clinton Hall,Restaurant,40.71505295412933,-73.95921530663084
289,33,OTB,Bar,40.71039332645751,-73.9636134675309
290,16,Checkers,Burger Joint,40.70883844615671,-73.95864531397821
291,143,St. Mazie,Cocktail Bar,40.71244618231341,-73.95595408442469
292,28,Abracadabra Brooklyn,Breakfast Spot,40.712030074261435,-73.96290598436741
293,62,Snacky,Asian Restaurant,40.71431800559917,-73.9608467453687
294,0,Gorilla Grill,Burger Joint,40.70873372097333,-73.95827997516524
295,1,AFC Grilled Chicken,Burger Joint,40.70864260196686,-73.95842671394348
296,2,Leon's Burger Hut,Burger Joint,40.714202,-73.961472
