,Count,Venue ID
174,100,49c86272f964a52019581fe3
175,15,59ce97225315937fce26cef1
176,18,4bd4dcf5cfa7b713ce0a25da
177,47,3fd66200f964a520fce81ee3
178,0,4e643616aeb7360315b12d47
179,2,5756a622498e08c7751959dd
180,4,5720f2ed498e7499aafa92ac
181,7,552c2d5a498e6e675f548cc8
182,5,521a7e8a498e9a3defc15591
183,5,4b102c53f964a520926a23e3
184,26,4ba7bfbbf964a520d8af39e3
185,8,5792ab2e498e1f75f8d0ac24
186,13,4bafb531f964a5209f193ce3
187,43,4a4e253df964a52027ae1fe3
188,103,510193528302126a99141178
189,41,54d4d008498e254c1e68dee4
190,7,4fe4a0b0e4b02bd5c5dd3e2e
191,14,4eda54ed5c5c96a2fe2886c8
192,8,5025b0a3e4b0e4d95f9f9017
193,17,4b083bbaf964a520ee0623e3
194,83,433f2300f964a52050281fe3
195,13,55dfb656498e758dc3f5e3c4
196,240,4eeb4c51775b1d4812e0261c
197,73,4ded556745dd3aa41d634703
198,37,4dcc0c3052b17cba4fb62352
199,3,59681d5b8b98fd6fb9b4dbb6
200,358,3fd66200f964a5207cf11ee3
201,310,4b5e4c9df964a520648829e3
202,4,595e8c08e2da196c103e7a9e
203,41,4b5cceabf964a520074529e3
204,72,4a2b1f53f964a520a5961fe3
205,19,4a522e5df964a52055b11fe3
206,20,55f8a162498e17705afff914
207,13,505f4949e4b081c354dbd562
208,23,4a799b0ff964a52039e71fe3
209,21,4b9d7908f964a5200caf36e3
210,219,49ba5f96f964a52060531fe3
211,9,5a7200d997461724ba963ae5
212,47,50417842e4b00690ba49d83a
213,112,530931a5498e4079544a5f13
214,49,52111ce111d2e6fde814bcf2
215,12,58028f8cd67c0471adf82c7e
216,2,52e9007011d2656b10d84297
217,0,5c0470f3c62b49002c701e29
218,0,5c9bf8dc811045002c5ebb8a
219,2,52dea0a0498e9813e3da908e
220,0,57569669498e111ea28e0eb1
221,0,59e7a81264c8e16a71f8febd
222,7,4bb8ca6298c7ef3b0f683102
223,13,5511d363498e21440e7e95d5
224,21,53c40d73498ec6e4bf38e720
225,70,4d673f06ae912d4396048f09
226,82,506cbae0e4b09691a78181ab
227,48,4f50044ae4b03fbe28b12990
