,Venue,Venue Category,Venue ID,Venue Latitude,Venue Longitude,gender,id
1026,Brooklyn Diner,40.75650255874428,4accaf20f964a52033c920e3,-73.98588918763393,Diner,male,513696
1027,Brooklyn Diner,40.75650255874428,4accaf20f964a52033c920e3,-73.98588918763393,Diner,male,14207459
1028,Pershing Square Café,40.75178280831583,3fd66200f964a52059ea1ee3,-73.97793738146655,American Restaurant,female,5078561
1029,Pershing Square Café,40.75178280831583,3fd66200f964a52059ea1ee3,-73.97793738146655,American Restaurant,male,334649867
1030,Pershing Square Café,40.75178280831583,3fd66200f964a52059ea1ee3,-73.97793738146655,American Restaurant,female,44222505
1031,Bryant Park Grill,40.75343337201152,3fd66200f964a5207de91ee3,-73.9833686571817,American Restaurant,male,44213003
1032,Bryant Park Grill,40.75343337201152,3fd66200f964a5207de91ee3,-73.9833686571817,American Restaurant,male,33579687
1033,Bryant Park Grill,40.75343337201152,3fd66200f964a5207de91ee3,-73.9833686571817,American Restaurant,female,29639359
1034,The Shakespeare,40.75051219751051,52a95a8111d2ab3dfe7d35ee,-73.98022770881653,Gastropub,male,1702245
1035,The Shakespeare,40.75051219751051,52a95a8111d2ab3dfe7d35ee,-73.98022770881653,Gastropub,male,1436021
1036,The Shakespeare,40.75051219751051,52a95a8111d2ab3dfe7d35ee,-73.98022770881653,Gastropub,male,2094720
1037,BXL Cafe,40.756055107221336,47676e3bf964a520f14c1fe3,-73.98482834631682,Bar,male,51435215
1038,BXL Cafe,40.756055107221336,47676e3bf964a520f14c1fe3,-73.98482834631682,Bar,male,21216034
1039,The Shop,40.752793,4c33a86a66e40f47d85cc88b,-73.98119399999999,American Restaurant,none,177036774
1040,The Shop,40.752793,4c33a86a66e40f47d85cc88b,-73.98119399999999,American Restaurant,male,927
1041,The Shop,40.752793,4c33a86a66e40f47d85cc88b,-73.98119399999999,American Restaurant,none,12290309
1042,Connolly's Pub & Restaurant,40.75728220000001,4a6a25c0f964a520b7cc1fe3,-73.983625,Irish Pub,male,610535
1043,Connolly's Pub & Restaurant,40.75728220000001,4a6a25c0f964a520b7cc1fe3,-73.983625,Irish Pub,female,27631903
1044,Bar 44,40.75550324388685,4bb637dcef159c74d09975f7,-73.98250839236468,Hotel Bar,male,38694390
1045,Bar 44,40.75550324388685,4bb637dcef159c74d09975f7,-73.98250839236468,Hotel Bar,female,4321866
1046,Bar 44,40.75550324388685,4bb637dcef159c74d09975f7,-73.98250839236468,Hotel Bar,male,39895292
1047,Burgers By Hard Times Sundaes,40.75444663999178,5702afe6498ec2255b8c13f9,-73.97690863224912,Burger Joint,male,159476
1048,Burgers By Hard Times Sundaes,40.75444663999178,5702afe6498ec2255b8c13f9,-73.97690863224912,Burger Joint,male,11340787
1049,Burgers By Hard Times Sundaes,40.75444663999178,5702afe6498ec2255b8c13f9,-73.97690863224912,Burger Joint,male,25831439
1050,Planet Hollywood,40.7579436,4a6baea8f964a52096cf1fe3,-73.9851237,American Restaurant,male,17860851
1051,Planet Hollywood,40.7579436,4a6baea8f964a52096cf1fe3,-73.9851237,American Restaurant,male,52981571
1052,Planet Hollywood,40.7579436,4a6baea8f964a52096cf1fe3,-73.9851237,American Restaurant,male,4895510
1053,Cock & Bull British Pub and Eatery,40.755946174428786,4fd757bd003937c44976c991,-73.98062072601766,Pub,female,13801806
1054,Cock & Bull British Pub and Eatery,40.755946174428786,4fd757bd003937c44976c991,-73.98062072601766,Pub,male,610535
1055,Cock & Bull British Pub and Eatery,40.755946174428786,4fd757bd003937c44976c991,-73.98062072601766,Pub,female,11562236
1056,Madison & Vine,40.752276384099396,4accda9cf964a520c5c920e3,-73.97965585644326,American Restaurant,none,5984935
1057,Madison & Vine,40.752276384099396,4accda9cf964a520c5c920e3,-73.97965585644326,American Restaurant,female,400820495
1058,Madison & Vine,40.752276384099396,4accda9cf964a520c5c920e3,-73.97965585644326,American Restaurant,male,522919
1059,The Long Room,40.7565753171848,4b12f781f964a520ca9123e3,-73.98438923361337,Pub,female,1624570
1060,The Long Room,40.7565753171848,4b12f781f964a520ca9123e3,-73.98438923361337,Pub,female,37772879
1061,The Long Room,40.7565753171848,4b12f781f964a520ca9123e3,-73.98438923361337,Pub,male,87230294
1062,Heartland Brewery,40.75630798593142,4ad103f8f964a520f4db20e3,-73.98531803213417,Brewery,male,49318960
1063,Heartland Brewery,40.75630798593142,4ad103f8f964a520f4db20e3,-73.98531803213417,Brewery,male,1237560
1064,Tri Tip Grill,40.75281239893301,4f0f0e55e4b06ab9f9cb7036,-73.97731822635441,Burger Joint,male,5679307
1065,Tri Tip Grill,40.75281239893301,4f0f0e55e4b06ab9f9cb7036,-73.97731822635441,Burger Joint,female,7491955
1066,Tri Tip Grill,40.75281239893301,4f0f0e55e4b06ab9f9cb7036,-73.97731822635441,Burger Joint,male,71840748
1067,Virgil's Real BBQ,40.75685,3fd66200f964a5201dea1ee3,-73.9851,BBQ Joint,female,562502
1068,Virgil's Real BBQ,40.75685,3fd66200f964a5201dea1ee3,-73.9851,BBQ Joint,male,405039666
1069,Point Break NYC,40.75579063121789,4ac5468cf964a52052b120e3,-73.98037308190393,Bar,male,21104944
1070,Sean's Bar & Kitchen,40.75823158092072,56ec7def38fa89316c537d66,-73.97991976303615,Irish Pub,male,109058576
1071,Sean's Bar & Kitchen,40.75823158092072,56ec7def38fa89316c537d66,-73.97991976303615,Irish Pub,none,520788929
1072,O'Briens Irish Pub,40.7581643679131,49cd8f90f964a520ff591fe3,-73.98381175357929,Pub,male,64181583
1073,O'Briens Irish Pub,40.7581643679131,49cd8f90f964a520ff591fe3,-73.98381175357929,Pub,male,63544227
1074,O'Briens Irish Pub,40.7581643679131,49cd8f90f964a520ff591fe3,-73.98381175357929,Pub,male,93823014
1075,Michael Jordan's The Steak House N.Y.C.,40.7530806,3fd66200f964a52070e71ee3,-73.9772353,Steakhouse,female,117247641
1076,Michael Jordan's The Steak House N.Y.C.,40.7530806,3fd66200f964a52070e71ee3,-73.9772353,Steakhouse,male,334649867
1077,Michael Jordan's The Steak House N.Y.C.,40.7530806,3fd66200f964a52070e71ee3,-73.9772353,Steakhouse,female,468384206
1078,Mulligan's Pub,40.75107885490096,3fd66200f964a5207ee31ee3,-73.98050833984003,Pub,male,6816339
1079,Mulligan's Pub,40.75107885490096,3fd66200f964a5207ee31ee3,-73.98050833984003,Pub,female,5117421
1080,Mulligan's Pub,40.75107885490096,3fd66200f964a5207ee31ee3,-73.98050833984003,Pub,male,390453627
1081,McDonald's,40.753042,4ba2265af964a5205adf37e3,-73.98028000000002,Fast Food Restaurant,female,6116910
1082,McDonald's,40.753042,4ba2265af964a5205adf37e3,-73.98028000000002,Fast Food Restaurant,male,843865
1083,McDonald's,40.753042,4ba2265af964a5205adf37e3,-73.98028000000002,Fast Food Restaurant,male,75247781
1084,Feed Your Hole,40.7567045105236,4d5eac5a149637044810cd94,-73.98220806112806,Burger Joint,female,39082338
1085,Feed Your Hole,40.7567045105236,4d5eac5a149637044810cd94,-73.98220806112806,Burger Joint,male,58122
1086,Feed Your Hole,40.7567045105236,4d5eac5a149637044810cd94,-73.98220806112806,Burger Joint,male,396832
1087,Connolly's Pub & Restaurant,40.7561728,41a12c00f964a520351e1fe3,-73.9778118,Irish Pub,female,14280223
1088,Connolly's Pub & Restaurant,40.7561728,41a12c00f964a520351e1fe3,-73.9778118,Irish Pub,male,71471792
1089,Connolly's Pub & Restaurant,40.7561728,41a12c00f964a520351e1fe3,-73.9778118,Irish Pub,male,75288902
1090,The Perfect Pint,40.757275052984674,45c84eb8f964a5206b421fe3,-73.98385738291942,Irish Pub,male,56289520
1091,The Perfect Pint,40.757275052984674,45c84eb8f964a5206b421fe3,-73.98385738291942,Irish Pub,male,16752701
1092,The Perfect Pint,40.757275052984674,45c84eb8f964a5206b421fe3,-73.98385738291942,Irish Pub,male,509574
