,Venue,Venue Category,Venue ID,Venue Latitude,Venue Longitude,gender,id
0,Townhouse Restaurant,40.876085887834265,4be2b79d660ec9284d04ca3b,-73.82886815052547,Restaurant,male,69661369
1,Townhouse Restaurant,40.876085887834265,4be2b79d660ec9284d04ca3b,-73.82886815052547,Restaurant,male,13000277
2,Townhouse Restaurant,40.876085887834265,4be2b79d660ec9284d04ca3b,-73.82886815052547,Restaurant,male,100835956
3,McDonald's,40.88563631373264,4c406f2e6c1a9521a042b96a,-73.82683955509486,Burger Joint,female,89243384
4,Smashburger,40.884220851709706,55568a71498e3524400a356e,-73.90033254824955,Burger Joint,male,102549100
5,Smashburger,40.884220851709706,55568a71498e3524400a356e,-73.90033254824955,Burger Joint,none,2073356
6,Smashburger,40.884220851709706,55568a71498e3524400a356e,-73.90033254824955,Burger Joint,male,2365777
7,Riverdale Diner,40.88518285486936,4b3789f3f964a520f34125e3,-73.89948352054364,Diner,male,151809450
8,Riverdale Diner,40.88518285486936,4b3789f3f964a520f34125e3,-73.89948352054364,Diner,none,419529746
9,Land & Sea Restaurant,40.87788463309789,4b9c9c6af964a520b27236e3,-73.90587282193539,Seafood Restaurant,male,426997816
10,Land & Sea Restaurant,40.87788463309789,4b9c9c6af964a520b27236e3,-73.90587282193539,Seafood Restaurant,male,2276062
11,Land & Sea Restaurant,40.87788463309789,4b9c9c6af964a520b27236e3,-73.90587282193539,Seafood Restaurant,female,29263123
12,The Bronx Public,40.87837659295958,59b17fe23b4e0043787e1a7c,-73.90348117090952,Pub,male,88029179
13,The Bronx Public,40.87837659295958,59b17fe23b4e0043787e1a7c,-73.90348117090952,Pub,female,19407199
14,The Bronx Public,40.87837659295958,59b17fe23b4e0043787e1a7c,-73.90348117090952,Pub,female,1411057
15,Dale Diner,40.878747814733146,57f93740cd10b5d065ea961a,-73.90420772832397,Diner,female,37916404
16,Dale Diner,40.878747814733146,57f93740cd10b5d065ea961a,-73.90420772832397,Diner,male,14916840
17,Artuso's Pizza & Pasta,40.87404335982298,52b346c311d20f236abf04f6,-73.91038620930443,Burger Joint,female,2539580
18,Applebee's Grill + Bar,40.87368548,4b5e451cf964a520f58629e3,-73.90892769,American Restaurant,male,2798702
19,Applebee's Grill + Bar,40.87368548,4b5e451cf964a520f58629e3,-73.90892769,American Restaurant,male,4699423
20,Rambling House,40.89843924053697,46212cb5f964a5208d451fe3,-73.86719657644849,Pub,male,356223182
21,Sal's Pizzeria,40.87526935053057,4bb626e0f562ef3b2fb32f97,-73.87956260705728,Pizza Place,female,157020959
22,Sal's Pizzeria,40.87526935053057,4bb626e0f562ef3b2fb32f97,-73.87956260705728,Pizza Place,female,13033256
23,Nicky's Coffee Shop,40.874932786273384,4c6d5ce5e6b7b1f7af76a98e,-73.87940404957489,Coffee Shop,male,68170751
24,Nicky's Coffee Shop,40.874932786273384,4c6d5ce5e6b7b1f7af76a98e,-73.87940404957489,Coffee Shop,female,425981193
25,Nicky's Coffee Shop,40.874932786273384,4c6d5ce5e6b7b1f7af76a98e,-73.87940404957489,Coffee Shop,female,157020959
26,TGI Fridays,40.86318917967161,4ac18d7ff964a5207a9720e3,-73.83380672336443,American Restaurant,female,406697985
27,City Island Diner,40.84723782511342,4b87d10cf964a5206ecd31e3,-73.78624488983156,Diner,male,33683923
28,City Island Diner,40.84723782511342,4b87d10cf964a5206ecd31e3,-73.78624488983156,Diner,female,36027620
29,The Snug,40.84719881133643,4b6f7528f964a5205ff12ce3,-73.78646581041706,Bar,male,1100976
30,The Snug,40.84719881133643,4b6f7528f964a5205ff12ce3,-73.78646581041706,Bar,male,485186967
31,The Snug,40.84719881133643,4b6f7528f964a5205ff12ce3,-73.78646581041706,Bar,female,36027620
32,Webster Cafe,40.86728998621904,4b171e79f964a5209cc223e3,-73.8836194832744,Diner,female,92517928
33,Webster Cafe,40.86728998621904,4b171e79f964a5209cc223e3,-73.8836194832744,Diner,female,18026837
34,Webster Cafe,40.86728998621904,4b171e79f964a5209cc223e3,-73.8836194832744,Diner,male,429935990
35,Bedford Cafe Restaurant,40.87341387211989,4baedf9ff964a520c0de3be3,-73.88919548256142,Diner,male,1438686
36,Bedford Cafe Restaurant,40.87341387211989,4baedf9ff964a520c0de3be3,-73.88919548256142,Diner,female,36935738
37,Bedford Cafe Restaurant,40.87341387211989,4baedf9ff964a520c0de3be3,-73.88919548256142,Diner,female,462941637
38,Texas Chicken and Burgers,40.85408937522653,56e1bf61498e0feda21902a6,-73.90789513640976,Burger Joint,male,216634193
39,Texas Chicken and Burgers,40.85408937522653,56e1bf61498e0feda21902a6,-73.90789513640976,Burger Joint,male,836801
40,Checkers,40.862609,56819cbf498e3605c5fbab32,-73.901955,Burger Joint,female,452882014
41,Checkers,40.862609,56819cbf498e3605c5fbab32,-73.901955,Burger Joint,male,4433691
42,Checkers,40.862609,56819cbf498e3605c5fbab32,-73.901955,Burger Joint,female,3781095
43,Fordham Restaurant,40.86273352895032,4b954545f964a5203c9934e3,-73.89677774336448,Diner,male,157914824
44,Fordham Restaurant,40.86273352895032,4b954545f964a5203c9934e3,-73.89677774336448,Diner,male,428995580
45,Burger King,40.86258428271915,4be332072fc7d13a2281083a,-73.89618068933488,Fast Food Restaurant,male,25629495
46,Burger King,40.86258428271915,4be332072fc7d13a2281083a,-73.89618068933488,Fast Food Restaurant,female,11532531
47,Kennedy Fried Chicken,40.8593415,58131ed938faa21211163ad1,-73.899227,Burger Joint,male,4433691
48,Gyro King,40.86232369540614,4c8801830f3c236a2d4bef5c,-73.90042695931973,Greek Restaurant,female,17107867
49,Gyro King,40.86232369540614,4c8801830f3c236a2d4bef5c,-73.90042695931973,Greek Restaurant,female,414790415
50,McDonald's,40.861685,4c0140ba94c1c9b667f8ba5f,-73.892471,Fast Food Restaurant,female,130205383
51,McDonald's,40.861685,4c0140ba94c1c9b667f8ba5f,-73.892471,Fast Food Restaurant,male,65226056
52,McDonald's,40.861685,4c0140ba94c1c9b667f8ba5f,-73.892471,Fast Food Restaurant,female,452882014
53,Jimbo's Hamburger Palace,40.86053495845375,4d4ec779db1b37046d37111f,-73.89807072998336,American Restaurant,male,38598286
54,Applebee's Grill + Bar,40.86014004,4adba246f964a520962921e3,-73.89111321,American Restaurant,male,93229752
55,Applebee's Grill + Bar,40.86014004,4adba246f964a520962921e3,-73.89111321,American Restaurant,male,13045527
56,Applebee's Grill + Bar,40.86014004,4adba246f964a520962921e3,-73.89111321,American Restaurant,female,78645488
57,North Star Cafe,40.84333558876738,4d39a9bacc48224b57ae354f,-73.88698194733944,Café,female,400943013
58,Checkers,40.845384398425686,559585a6498e27a432a3d616,-73.89061376452445,Burger Joint,male,20749463
59,Checkers,40.83605933477685,515316ebe4b04c8e5fb65eb8,-73.92287939786911,Burger Joint,male,10441253
60,Anthony's Pizzeria,40.83802901613783,4d24e14a3574a14348ec48d1,-73.92615118267463,Pizza Place,male,26532505
61,Perry Coffee Shop.,40.82343311944822,4fa534cee4b0fed4819dc7d4,-73.91093964319761,Diner,male,516277897
62,Perry Coffee Shop.,40.82343311944822,4fa534cee4b0fed4819dc7d4,-73.91093964319761,Diner,male,96625700
63,Perry Coffee Shop.,40.82343311944822,4fa534cee4b0fed4819dc7d4,-73.91093964319761,Diner,female,9840630
64,Milk Burger,40.803607,57f4356d498e9b6bbc8a44f8,-73.919885,Burger Joint,female,90386960
65,Milk Burger,40.803607,57f4356d498e9b6bbc8a44f8,-73.919885,Burger Joint,male,1602691
66,Milk Burger,40.803607,57f4356d498e9b6bbc8a44f8,-73.919885,Burger Joint,male,15294476
67,Crown Fried Chicken,40.807946994398186,4e2de441aeb7e1b8af96041c,-73.91952040459516,Fried Chicken Joint,male,49915818
68,White Castle,40.82196576899963,4bd7661835aad13ac3cf8ef3,-73.89745368185666,Burger Joint,male,2609428
69,White Castle,40.82196576899963,4bd7661835aad13ac3cf8ef3,-73.89745368185666,Burger Joint,male,435781355
70,White Castle,40.82196576899963,4bd7661835aad13ac3cf8ef3,-73.89745368185666,Burger Joint,male,3071531
71,Jimbo's,40.82336160292545,4b674194f964a5202f442be3,-73.86814504394364,Breakfast Spot,female,419590198
72,Jimbo's,40.82336160292545,4b674194f964a5202f442be3,-73.86814504394364,Breakfast Spot,female,69731080
73,Muscle Maker Grill,40.819391233745925,4bf471c198ac0f47190664a8,-73.81729767562672,American Restaurant,male,1736122
74,Muscle Maker Grill,40.819391233745925,4bf471c198ac0f47190664a8,-73.81729767562672,American Restaurant,female,76587498
75,Burger King,40.8375732,4cb8d3154352a1cd5a9988f5,-73.8600513,Fast Food Restaurant,male,42922187
76,Burger King,40.8375732,4cb8d3154352a1cd5a9988f5,-73.8600513,Fast Food Restaurant,female,101453042
77,Burger King,40.8375732,4cb8d3154352a1cd5a9988f5,-73.8600513,Fast Food Restaurant,male,20734483
78,Wendy's,40.842899804531605,4b914c8ff964a5200eb133e3,-73.84535953402519,Burger Joint,male,150498203
79,Wendy's,40.842899804531605,4b914c8ff964a5200eb133e3,-73.84535953402519,Burger Joint,female,3174598
80,Wendy's,40.842899804531605,4b914c8ff964a5200eb133e3,-73.84535953402519,Burger Joint,male,15470177
81,White Castle,40.840287158930614,4b64a9fff964a520b1c62ae3,-73.84129308432539,Burger Joint,female,119137675
82,White Castle,40.840287158930614,4b64a9fff964a520b1c62ae3,-73.84129308432539,Burger Joint,female,26272924
83,McDermott's Pub,40.84274284003696,4d5f3bc6196ba093879f0b56,-73.84602838861021,Pub,male,16219661
84,McDermott's Pub,40.84274284003696,4d5f3bc6196ba093879f0b56,-73.84602838861021,Pub,male,1226925
85,McDermott's Pub,40.84274284003696,4d5f3bc6196ba093879f0b56,-73.84602838861021,Pub,male,24300591
86,Tremont Diner,40.84005058086957,4b6a0d33f964a5205dc42be3,-73.83729837723685,Diner,male,325844183
87,Tremont Diner,40.84005058086957,4b6a0d33f964a5205dc42be3,-73.83729837723685,Diner,male,150498203
88,Anthony's Pizza,40.845269327300976,4bafc2f1f964a520a31e3ce3,-73.86609972700785,Pizza Place,male,12337024
89,Anthony's Pizza,40.845269327300976,4bafc2f1f964a520a31e3ce3,-73.86609972700785,Pizza Place,none,436301751
90,Anthony's Pizza,40.845269327300976,4bafc2f1f964a520a31e3ce3,-73.86609972700785,Pizza Place,female,20965852
91,Burger One,40.839771,51e4393b498eb4224553eb07,-73.868449,Burger Joint,female,132235102
92,Burger One,40.839771,51e4393b498eb4224553eb07,-73.868449,Burger Joint,male,62699361
93,Burger Time,40.84928804010554,522b97a411d299ee4a3a10ca,-73.85358476993304,Burger Joint,male,13731324
94,Burger Time,40.84928804010554,522b97a411d299ee4a3a10ca,-73.85358476993304,Burger Joint,male,1648432
95,Burger Time,40.84928804010554,522b97a411d299ee4a3a10ca,-73.85358476993304,Burger Joint,male,11659457
96,The Stand,40.84886768657605,50180a6be4b0d405ec6454ea,-73.8545026138027,Burger Joint,female,19783822
97,The Stand,40.84886768657605,50180a6be4b0d405ec6454ea,-73.8545026138027,Burger Joint,male,23507715
98,The Stand,40.84886768657605,50180a6be4b0d405ec6454ea,-73.8545026138027,Burger Joint,female,11337847
99,White Castle,40.85900319252771,4c3d6ba2933b0f47326ae521,-73.8864944604998,Burger Joint,male,56289520
100,White Castle,40.85900319252771,4c3d6ba2933b0f47326ae521,-73.8864944604998,Burger Joint,male,496418353
101,White Castle,40.85900319252771,4c3d6ba2933b0f47326ae521,-73.8864944604998,Burger Joint,male,37594054
102,Howl At The Moon,40.85757292782422,4a73de62f964a5208fdd1fe3,-73.88644395048595,Piano Bar,male,496418353
103,Howl At The Moon,40.85757292782422,4a73de62f964a5208fdd1fe3,-73.88644395048595,Piano Bar,female,491971462
104,Howl At The Moon,40.85757292782422,4a73de62f964a5208fdd1fe3,-73.88644395048595,Piano Bar,male,19833260
105,Burger Lodge,40.856674,56feafc1498ef95280ab5a0d,-73.884137,Burger Joint,male,41479635
106,Riverdale Steakhouse,40.90669106081043,4a9ae4fdf964a520723320e3,-73.90404852446945,Burger Joint,female,37916404
107,Riverdale Steakhouse,40.90669106081043,4a9ae4fdf964a520723320e3,-73.90404852446945,Burger Joint,female,457710459
108,Riverdale Steakhouse,40.90669106081043,4a9ae4fdf964a520723320e3,-73.90404852446945,Burger Joint,female,224288284
109,Brewski's Bar & Grill,40.82664104244332,4f2e27bee4b010c5f6982ad7,-73.82248599450232,Bar,male,1736122
110,Brewski's Bar & Grill,40.82664104244332,4f2e27bee4b010c5f6982ad7,-73.82248599450232,Bar,female,83491284
111,Fiddlers Elbow,40.82660255349218,462d1873f964a520e8451fe3,-73.82248544920363,Bar,female,27896148
112,The Wicked Wolf,40.819687706247905,4b5a3c87f964a5207fb628e3,-73.81735925205254,Pub,male,401193812
113,The Wicked Wolf,40.819687706247905,4b5a3c87f964a5207fb628e3,-73.81735925205254,Pub,female,55185473
114,The Wicked Wolf,40.819687706247905,4b5a3c87f964a5207fb628e3,-73.81735925205254,Pub,male,10407654
115,The Kettle Black,40.62283909856897,4a9880f5f964a520692c20e3,-74.03141082168588,Bar,male,24855883
116,The Kettle Black,40.62283909856897,4a9880f5f964a520692c20e3,-74.03141082168588,Bar,none,8631081
117,Cebu' Bar & Bistro,40.62181234249646,4a9f1f91f964a5209b3c20e3,-74.03172698590136,New American Restaurant,female,485836318
118,Cebu' Bar & Bistro,40.62181234249646,4a9f1f91f964a5209b3c20e3,-74.03172698590136,New American Restaurant,female,19407199
119,Cebu' Bar & Bistro,40.62181234249646,4a9f1f91f964a5209b3c20e3,-74.03172698590136,New American Restaurant,female,93284988
120,Wendy's,40.62230603400667,52e414ea498efa7a2abe118c,-74.02795895934105,Burger Joint,female,90617058
121,Wendy's,40.62230603400667,52e414ea498efa7a2abe118c,-74.02795895934105,Burger Joint,female,7563681
122,Wendy's,40.62230603400667,52e414ea498efa7a2abe118c,-74.02795895934105,Burger Joint,female,420346992
123,Cappuccino Cafe,40.62951041286022,4a9892a0f964a520be2c20e3,-74.02853892492205,American Restaurant,female,340067121
124,Cappuccino Cafe,40.62951041286022,4a9892a0f964a520be2c20e3,-74.02853892492205,American Restaurant,female,1609219
125,Cappuccino Cafe,40.62951041286022,4a9892a0f964a520be2c20e3,-74.02853892492205,American Restaurant,female,56286724
126,burger up,40.6227842477891,5446e39f498ee9a7ef4db6e7,-74.03068069487965,Burger Joint,female,10522866
127,burger up,40.6227842477891,5446e39f498ee9a7ef4db6e7,-74.03068069487965,Burger Joint,male,149610
128,Standard Burgers,40.621577,5b42a9aefd9d73002be01dd1,-74.031828,Burger Joint,male,2310670
129,Barley,40.73391856876721,561eef16498e73af804a6752,-73.95494308195431,Burger Joint,female,104539197
130,Barley,40.73391856876721,561eef16498e73af804a6752,-73.95494308195431,Burger Joint,male,7874505
131,Barley,40.73391856876721,561eef16498e73af804a6752,-73.95494308195431,Burger Joint,male,10444249
132,The Brew Inn,40.731031,5285412911d2a3e51484ff56,-73.95419100000002,Gastropub,male,610535
133,The Brew Inn,40.731031,5285412911d2a3e51484ff56,-73.95419100000002,Gastropub,male,23234335
134,The Brew Inn,40.731031,5285412911d2a3e51484ff56,-73.95419100000002,Gastropub,none,518110977
135,Anella,40.73327191911455,4a5a78f1f964a52064ba1fe3,-73.95801948957295,American Restaurant,male,484843244
136,Anella,40.73327191911455,4a5a78f1f964a52064ba1fe3,-73.95801948957295,American Restaurant,female,470259947
137,Anella,40.73327191911455,4a5a78f1f964a52064ba1fe3,-73.95801948957295,American Restaurant,male,222248
138,Black Rabbit,40.730057019874174,46869096f964a52048481fe3,-73.95658766171472,Bar,none,528705357
139,Black Rabbit,40.730057019874174,46869096f964a52048481fe3,-73.95658766171472,Bar,male,34236821
140,Black Rabbit,40.730057019874174,46869096f964a52048481fe3,-73.95658766171472,Bar,male,10444249
141,21 Greenpoint,40.72973145449354,57dc9cf9498e9b5df967d6c2,-73.95989263835487,Bar,female,138696013
142,21 Greenpoint,40.72973145449354,57dc9cf9498e9b5df967d6c2,-73.95989263835487,Bar,female,209822096
143,21 Greenpoint,40.72973145449354,57dc9cf9498e9b5df967d6c2,-73.95989263835487,Bar,male,126989
144,Elder Greene,40.73062110833443,5ae25347fd16bb002cf0c3f2,-73.95769664253253,Bar,male,75410348
145,Elder Greene,40.73062110833443,5ae25347fd16bb002cf0c3f2,-73.95769664253253,Bar,male,3558636
146,Elder Greene,40.73062110833443,5ae25347fd16bb002cf0c3f2,-73.95769664253253,Bar,male,922535
147,Pelicana Chicken,40.73145241009625,5ad7c4224febd54bc97c5c47,-73.95450966745076,Fried Chicken Joint,male,62056487
148,Pelicana Chicken,40.73145241009625,5ad7c4224febd54bc97c5c47,-73.95450966745076,Fried Chicken Joint,male,34236821
149,Pelicana Chicken,40.73145241009625,5ad7c4224febd54bc97c5c47,-73.95450966745076,Fried Chicken Joint,male,1260562
150,Slick Willie,40.72826009361087,54283abd498e920cadc9692d,-73.94946276978422,American Restaurant,male,1712152
151,Slick Willie,40.72826009361087,54283abd498e920cadc9692d,-73.94946276978422,American Restaurant,none,117492600
152,Slick Willie,40.72826009361087,54283abd498e920cadc9692d,-73.94946276978422,American Restaurant,male,499536432
153,Le Gamin,40.72828009841782,4bcf1883c564ef3ba33beff0,-73.95733511406732,French Restaurant,female,1529443
154,Le Gamin,40.72828009841782,4bcf1883c564ef3ba33beff0,-73.95733511406732,French Restaurant,female,2985435
155,Le Gamin,40.72828009841782,4bcf1883c564ef3ba33beff0,-73.95733511406732,French Restaurant,female,61088
156,McDonald's,40.730389,4a685faff964a52062ca1fe3,-73.954109,Fast Food Restaurant,female,44070716
157,McDonald's,40.730389,4a685faff964a52062ca1fe3,-73.954109,Fast Food Restaurant,male,423539828
158,McDonald's,40.730389,4a685faff964a52062ca1fe3,-73.954109,Fast Food Restaurant,female,15364003
159,Garden Spot Cafe,40.73342100616382,4d1f7a7a8629224bb46a0b87,-73.95820729218747,American Restaurant,male,1260635
160,Hook & Cleaver,40.72979131513016,54a888e6498ef4dcbc458f1f,-73.95827997516524,Steakhouse,male,415369720
161,Hook & Cleaver,40.72979131513016,54a888e6498ef4dcbc458f1f,-73.95827997516524,Steakhouse,male,24716617
162,Hook & Cleaver,40.72979131513016,54a888e6498ef4dcbc458f1f,-73.95827997516524,Steakhouse,female,157190
163,Wendy's,40.57788310107807,56282e90498e9159a2f3c807,-73.96083749519805,Burger Joint,male,16749398
164,Wendy's,40.57788310107807,56282e90498e9159a2f3c807,-73.96083749519805,Burger Joint,male,47987182
165,Palace Fried Chicken,40.57775466203445,4e4cff86bd413c4cc66dde8e,-73.96157553259849,Fried Chicken Joint,female,4916260
166,Palace Fried Chicken,40.57775466203445,4e4cff86bd413c4cc66dde8e,-73.96157553259849,Fried Chicken Joint,male,76826606
167,Roll N Roaster,40.584143455001524,4606214ef964a520c6441fe3,-73.93955540497697,Sandwich Place,male,5215542
168,Roll N Roaster,40.584143455001524,4606214ef964a520c6441fe3,-73.93955540497697,Sandwich Place,female,2497277
169,Dessert Palace,40.583832572084106,4bb9004d1261d13ae934e998,-73.9442597274344,Burger Joint,female,21280930
170,Dessert Palace,40.583832572084106,4bb9004d1261d13ae934e998,-73.9442597274344,Burger Joint,male,381196316
171,Applebee's Grill + Bar,40.58388785,4b480401f964a520614626e3,-73.94323487,American Restaurant,female,90524320
172,Applebee's Grill + Bar,40.58388785,4b480401f964a520614626e3,-73.94323487,American Restaurant,female,7843595
173,Kouros Bay Diner,40.589760712285965,4b7ae0bff964a52017432fe3,-73.93971282705247,Diner,male,405416202
174,Kouros Bay Diner,40.589760712285965,4b7ae0bff964a52017432fe3,-73.93971282705247,Diner,female,455484
175,Burger Shop,40.61683306987118,4e6fed0845dd04ee465b443b,-73.95919261437253,Burger Joint,male,51771601
176,Boeuf & Bun,40.670465131620105,54cfdb36498e33e73a5d67b5,-73.94211271516724,Burger Joint,female,497946356
177,Boeuf & Bun,40.670465131620105,54cfdb36498e33e73a5d67b5,-73.94211271516724,Burger Joint,male,373124781
178,Boeuf & Bun,40.670465131620105,54cfdb36498e33e73a5d67b5,-73.94211271516724,Burger Joint,male,398600
179,Mendy's Crown Heights,40.66895205842575,49f8fd61f964a520476d1fe3,-73.94219623980871,Burger Joint,male,508121407
180,Mendy's Crown Heights,40.66895205842575,49f8fd61f964a520476d1fe3,-73.94219623980871,Burger Joint,male,147127207
181,Mendy's Crown Heights,40.66895205842575,49f8fd61f964a520476d1fe3,-73.94219623980871,Burger Joint,male,9968771
182,VIP Grill,40.64145189422817,4b5d2842f964a520ea5429e3,-73.98543918649351,Burger Joint,male,16201089
183,VIP Grill,40.64145189422817,4b5d2842f964a520ea5429e3,-73.98543918649351,Burger Joint,male,85654773
184,VIP Grill,40.64145189422817,4b5d2842f964a520ea5429e3,-73.98543918649351,Burger Joint,male,674507
185,Brooklyn Comfort,40.64359091385288,528c27fd11d279a61b01496c,-73.97758608570983,Restaurant,male,57693534
186,Brooklyn Comfort,40.64359091385288,528c27fd11d279a61b01496c,-73.97758608570983,Restaurant,none,16780
187,Brooklyn Comfort,40.64359091385288,528c27fd11d279a61b01496c,-73.97758608570983,Restaurant,female,9205456
188,The Double Windsor,40.66052504480458,4a7c3df8f964a5200bec1fe3,-73.98028176631405,Bar,female,986556
189,The Double Windsor,40.66052504480458,4a7c3df8f964a5200bec1fe3,-73.98028176631405,Bar,male,61676313
190,Krupa Grocery,40.659957167936675,5361a097498e40a31baa411c,-73.98069569997391,American Restaurant,female,127538549
191,Krupa Grocery,40.659957167936675,5361a097498e40a31baa411c,-73.98069569997391,American Restaurant,male,1827006
192,Rhythm & Booze,40.65759121594892,4a1099f5f964a520e5761fe3,-73.97957961130055,Sports Bar,male,21616773
193,Rhythm & Booze,40.65759121594892,4a1099f5f964a520e5761fe3,-73.97957961130055,Sports Bar,female,8681466
194,212 Burgers,40.660497,593de1cfc0f163445a3a49b2,-73.980584,Burger Joint,male,384678956
195,212 Burgers,40.660497,593de1cfc0f163445a3a49b2,-73.980584,Burger Joint,male,6842269
196,Tom's Restaurant,40.67453698094472,4a6c86e5f964a520b8d01fe3,-73.96321631850594,Burger Joint,female,1084512
197,Tom's Restaurant,40.67453698094472,4a6c86e5f964a520b8d01fe3,-73.96321631850594,Burger Joint,none,481713725
198,Tom's Restaurant,40.67453698094472,4a6c86e5f964a520b8d01fe3,-73.96321631850594,Burger Joint,male,175106
199,Sunshine Co.,40.674672496487844,50d5e0fce4b01e0c6330f7a1,-73.96332178669509,American Restaurant,female,460423771
200,Sunshine Co.,40.674672496487844,50d5e0fce4b01e0c6330f7a1,-73.96332178669509,American Restaurant,male,24902
201,Sunshine Co.,40.674672496487844,50d5e0fce4b01e0c6330f7a1,-73.96332178669509,American Restaurant,male,62167634
202,Branded Saloon,40.679394059795115,4bf721834a67c928eb2123cf,-73.96816545095966,Whisky Bar,female,95871167
203,Branded Saloon,40.679394059795115,4bf721834a67c928eb2123cf,-73.96816545095966,Whisky Bar,male,72411017
204,Branded Saloon,40.679394059795115,4bf721834a67c928eb2123cf,-73.96816545095966,Whisky Bar,female,17921382
205,Soda Bar,40.67831607945023,4075e780f964a52056f21ee3,-73.96859389991735,Bar,female,5952352
206,Soda Bar,40.67831607945023,4075e780f964a52056f21ee3,-73.96859389991735,Bar,none,474234
207,Soda Bar,40.67831607945023,4075e780f964a52056f21ee3,-73.96859389991735,Bar,male,83751437
208,MeMe’s Diner,40.67767949351533,5a1cc6a0e179105d3a0670e0,-73.96374983057217,American Restaurant,male,9427412
209,MeMe’s Diner,40.67767949351533,5a1cc6a0e179105d3a0670e0,-73.96374983057217,American Restaurant,male,9691
210,MeMe’s Diner,40.67767949351533,5a1cc6a0e179105d3a0670e0,-73.96374983057217,American Restaurant,female,3132213
211,The Vanderbilt,40.6795177766136,4adcc0a7f964a520702f21e3,-73.96836850595238,American Restaurant,female,507250652
212,The Vanderbilt,40.6795177766136,4adcc0a7f964a520702f21e3,-73.96836850595238,American Restaurant,female,48202960
213,The Vanderbilt,40.6795177766136,4adcc0a7f964a520702f21e3,-73.96836850595238,American Restaurant,male,8320833
214,Stocked Burger,40.677219,5c43a4e8e17910002c355cbe,-73.96357900000002,Burger Joint,male,2473047
215,Stocked Burger,40.677219,5c43a4e8e17910002c355cbe,-73.96357900000002,Burger Joint,female,36774209
216,Penny House Cafe,40.67610945178208,4b93f1bdf964a520c25b34e3,-73.9634229196912,Coffee Shop,male,38281
217,Penny House Cafe,40.67610945178208,4b93f1bdf964a520c25b34e3,-73.9634229196912,Coffee Shop,female,126896933
218,Penny House Cafe,40.67610945178208,4b93f1bdf964a520c25b34e3,-73.9634229196912,Coffee Shop,male,70233253
219,Cafe Shane on Washington,40.674167307214645,4a298f27f964a520a7951fe3,-73.96311113619906,Breakfast Spot,female,97654888
220,Cafe Shane on Washington,40.674167307214645,4a298f27f964a520a7951fe3,-73.96311113619906,Breakfast Spot,male,4506290
221,Cafe Shane on Washington,40.674167307214645,4a298f27f964a520a7951fe3,-73.96311113619906,Breakfast Spot,male,523786
222,Neptune Diner II,40.676573883755935,4e738451ae6050af79ebf95b,-73.95926265892562,Diner,female,1104706
223,Neptune Diner II,40.676573883755935,4e738451ae6050af79ebf95b,-73.95926265892562,Diner,female,20073509
224,Neptune Diner II,40.676573883755935,4e738451ae6050af79ebf95b,-73.95926265892562,Diner,female,131488474
225,Blue Collar,40.71135771797885,4ffe3889e4b01d5de4d4a81a,-73.95771847756468,Burger Joint,male,19167230
226,Blue Collar,40.71135771797885,4ffe3889e4b01d5de4d4a81a,-73.95771847756468,Burger Joint,male,519211213
227,Blue Collar,40.71135771797885,4ffe3889e4b01d5de4d4a81a,-73.95771847756468,Burger Joint,male,456107
228,Trophy Bar,40.70776758662049,48a1f340f964a5208e511fe3,-73.95578164000341,Bar,male,19167230
229,Trophy Bar,40.70776758662049,48a1f340f964a5208e511fe3,-73.95578164000341,Bar,male,34683553
230,Trophy Bar,40.70776758662049,48a1f340f964a5208e511fe3,-73.95578164000341,Bar,male,505533881
231,Peter Luger Steak House,40.70995790682886,3fd66200f964a5209beb1ee3,-73.96229110893742,Steakhouse,female,7521393
232,Peter Luger Steak House,40.70995790682886,3fd66200f964a5209beb1ee3,-73.96229110893742,Steakhouse,male,2206347
233,Checkers,40.70883844615671,4c9bd1140313370443af4fd5,-73.95864531397821,Burger Joint,female,148715595
234,Checkers,40.70883844615671,4c9bd1140313370443af4fd5,-73.95864531397821,Burger Joint,male,519211213
235,Checkers,40.70883844615671,4c9bd1140313370443af4fd5,-73.95864531397821,Burger Joint,female,11249431
236,AFC Grilled Chicken,40.70864260196686,4d98bfa2af3d236a82c143c7,-73.95842671394348,Burger Joint,male,85669675
237,AFC Grilled Chicken,40.70864260196686,4d98bfa2af3d236a82c143c7,-73.95842671394348,Burger Joint,female,7308274
238,Zamaan Hookah Bar and Lounge,40.707847422779714,4d33b71c2c76a1434f2f7ec7,-73.95581189700223,Hookah Bar,female,130058818
239,Zamaan Hookah Bar and Lounge,40.707847422779714,4d33b71c2c76a1434f2f7ec7,-73.95581189700223,Hookah Bar,male,426566280
240,Zamaan Hookah Bar and Lounge,40.707847422779714,4d33b71c2c76a1434f2f7ec7,-73.95581189700223,Hookah Bar,male,49131998
241,Alphaville,40.700655570348815,53d8078c498ec85537d3df4a,-73.92571111977057,Bar,female,66044713
242,Alphaville,40.700655570348815,53d8078c498ec85537d3df4a,-73.92571111977057,Bar,female,88116040
243,Alphaville,40.700655570348815,53d8078c498ec85537d3df4a,-73.92571111977057,Bar,none,480944400
244,The Wheelhouse,40.699996984427685,534d916e498e45d9c44e6d0a,-73.92440070116781,Sandwich Place,female,80438711
245,The Wheelhouse,40.699996984427685,534d916e498e45d9c44e6d0a,-73.92440070116781,Sandwich Place,none,467584617
