,Rating,Venue ID
140,6.9,5720f2ed498e7499aafa92ac
141,8.3,552c2d5a498e6e675f548cc8
142,7.3,521a7e8a498e9a3defc15591
143,6.5,4b102c53f964a520926a23e3
144,6.3,4ba7bfbbf964a520d8af39e3
145,7.4,5792ab2e498e1f75f8d0ac24
146,7.0,4bafb531f964a5209f193ce3
147,6.0,4a4e253df964a52027ae1fe3
148,8.4,510193528302126a99141178
149,8.7,54d4d008498e254c1e68dee4
150,6.6,4fe4a0b0e4b02bd5c5dd3e2e
151,7.6,4eda54ed5c5c96a2fe2886c8
152,6.3,5025b0a3e4b0e4d95f9f9017
153,7.6,4b083bbaf964a520ee0623e3
154,8.6,433f2300f964a52050281fe3
155,7.7,55dfb656498e758dc3f5e3c4
156,8.9,4eeb4c51775b1d4812e0261c
157,7.6,4ded556745dd3aa41d634703
158,7.9,4dcc0c3052b17cba4fb62352
159,7.7,59681d5b8b98fd6fb9b4dbb6
160,8.5,3fd66200f964a5207cf11ee3
161,8.9,4b5e4c9df964a520648829e3
162,6.3,595e8c08e2da196c103e7a9e
163,7.3,4b5cceabf964a520074529e3
164,6.3,4a2b1f53f964a520a5961fe3
165,7.5,4a522e5df964a52055b11fe3
166,6.1,55f8a162498e17705afff914
167,5.6,505f4949e4b081c354dbd562
168,6.4,4a799b0ff964a52039e71fe3
169,4.7,4b9d7908f964a5200caf36e3
170,8.2,49ba5f96f964a52060531fe3
171,7.5,5a7200d997461724ba963ae5
172,7.7,50417842e4b00690ba49d83a
173,9.0,530931a5498e4079544a5f13
174,9.0,52111ce111d2e6fde814bcf2
175,6.9,58028f8cd67c0471adf82c7e
176,6.3,52e9007011d2656b10d84297
177,6.6,52dea0a0498e9813e3da908e
178,7.4,59e7a81264c8e16a71f8febd
179,5.6,4bb8ca6298c7ef3b0f683102
180,8.2,5511d363498e21440e7e95d5
181,6.4,53c40d73498ec6e4bf38e720
182,8.6,4d673f06ae912d4396048f09
183,7.8,506cbae0e4b09691a78181ab
184,8.4,4f50044ae4b03fbe28b12990
185,8.0,588cf4548b0ebb5d015a5964
186,9.1,49c3df11f964a52081561fe3
187,8.1,439308daf964a520712b1fe3
188,8.7,4bd254bd77b29c743da18e82
189,8.6,5b05c761e7a2370039b6f1ff
190,8.6,4554c3b0f964a520113d1fe3
191,7.2,55f86e40498ed2f3a2e9fb1a
192,8.7,3fd66200f964a52069eb1ee3
